fecha,tarea,proyecto,bloque,horainicio,horafin,comentario,notas
22/01/2026,Comparación de diagramas constructivos ZF4 en ZC5 cubierta principal,ABAC,GENERAL,9:36,12:32,Comparación constructiva AAOR-BAC cubierta principal,
22/01/2026,Formulario principal para cálculo de conductos,PROG,GENERAL,12:32,12:45,FrmMain.frm para cálculo de conductos,
22/01/2026,Inclusión de los comentarios realizados por Miguel en la hoja excel general de ZC5,PROG,GENERAL,12:45,13:33,Se incluyen los comentarios realizados y aprobados por Miguel en la Excel correspondiente a ZC5 ZF3 y ZF4,
22/01/2026,Comparación de diagramas constructivos ZF4 en ZC5 segunda cubierta,ABAC,GENERAL,13:33,15:00,Comparación constructiva AAOR-BAC segunda cubierta,
22/01/2026,COMIDA,COM,GENERAL,15:00,15:30,COMIDA,
22/01/2026,FrmMain.frm en excel de calculo de secciones y conductos,PROG,GENERAL,15:30,16:02,FrmMain.frm en excel de calculo de secciones y conductos,
23/01/2026,FrmMain.frm en excel de calculo de secciones y conductos,PROG,GENERAL,6:56,07:40,FrmMain.frm en excel de calculo de secciones y conductos,
23/01/2026,Comparación de diagramas constructivos ZF4 en ZC5 segunda cubierta,ABAC,GENERAL,7:40,09:13,Comparación constructiva AAOR-BAC segunda cubierta,
23/01/2026,Comparación de diagramas constructivos ZF4 en ZC5 nivel 01,ABAC,GENERAL,9:13,10:16,Comparación constructiva AAOR-BAC nivel 01,
23/01/2026,Comparación de diagramas constructivos ZF4 en ZC5 nivel 01,ABAC,GENERAL,10:16,12:29,Comparación constructiva AAOR-BAC nivel 01,
23/01/2026,FrmMain.frm en excel de calculo de secciones y conductos,PROG,GENERAL,12:29,13:30,FrmMain.frm en excel de calculo de secciones y conductos,
26/01/2026,FrmMain.frm en excel de calculo de secciones y conductos,PROG,GENERAL,6:56,07:49,FrmMain.frm en excel de calculo de secciones y conductos,
26/01/2026,FrmMain.frm en excel de calculo de secciones y conductos,PROG,GENERAL,7:49,08:33,FrmMain.frm en excel de calculo de secciones y conductos,
26/01/2026,Se revisan los funcionales  para ver su implicación en la comparación constructiva  AAOR-BAC,ABAC,GENERAL,8:33,09:28,Revisión de diagrama funcional AAOR-BAC para ver su implicación en el constructivo AAOR-BAC,
26/01/2026,Macro para el conteo de horas de una fecha concreta indicada en un inputbox,PROG,GENERAL,9:28,9:32,Macro para la suma de horas de una fecha concreta,
26/01/2026,Se revisan los funcionales  para ver su implicación en la comparación constructiva  AAOR-BAC. Conversación por Teams con Miguel acerca de conducto estanco ACO4624 en AAOR  mientras que en BAC no es estanco y no cambia de local como en AAOR,ABAC,531-540,9:32,10:14,Revisión de diagrama funcional AAOR-BAC para ver su implicación en el constructivo AAOR-BAC,
26/01/2026,Se pasa excel ZF4 ZC5 a Miguel para su revisión e inclusión en excel general,PROG,GENERAL,10:14,10:17,Se le facilita a Miguel la excel de ZF4 ZC5 por Teams para revisión/inclusión en excel general,
26/01/2026,Realización de una macro que compute las horas de una jornada indicada mediante un inputbox,PROG,GENERAL,10:17,10:39,Realización de una macro que compute las horas de una jornada indicada mediante un inputbox,
26/01/2026,Comprobación funcional de la ZF1 ZC6 del AAOR-BAC,ABAC,GENERAL,10:39,11:00,Comprobación funcional de la ZF1 ZF6 del AAOR-BAC,
26/01/2026,Reunión Teams integración modelo 3D BAC,ABAC,GENERAL,11:00,11:28,Reunión Teams integración modelo 3D BAC,
26/01/2026,Comprobación funcional de la ZF1 ZC6 del AAOR-BAC,ABAC,GENERAL,11:28,11:40,Comprobación funcional de la ZF1 ZF6 del AAOR-BAC,
